PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D712015-533,2,117868,PL,F49-1-BAG1,2,1012377,1,29,7,24,161,34,0,34,1
D746510-39,1,163950,NM,F49-1-BAG1,1,517087,1,2,4,0,128,284,-1,-457,0
D746530-21,1,170133,NM,F49-1-BAG1,1,540627,1,4,4,0,129,57,-1,57,1
D746520-27,1,161314,NM,F49-1-BAG1,1,508032,1,2,4,0,128,71,-1,71,0
D746520-29,1,423704,NM,F49-1-BAG1,1,509261,1,2,4,0,129,284,-1,-457,0
D746702-67,1,243826,MP,F49-1-BAG1,1,618092,1,8,5,0,125,73,-1,73,1
D746510-35,1,233805,NM,F49-1-BAG1,1,549169,1,5,4,0,131,73,-1,73,1
D746510-33,1,170869,NM,F49-1-BAG1,1,509507,1,2,4,0,128,56,-1,56,0
D746320-27,1,645128,NM,F49-1-BAG1,1,857613,1,43,8,0,129,62,-1,62,1
D712101-21,1,191548,SM,F49-1-BAG1,1,591982,1,13,6,0,125,7,0,7,0
D747001-513,4,450789,TA,F49-1-BAG1,4,8692119,2,0,9,910,201,107,0,0,4
D746640-95,1,203369,MP,F49-1-BAG1,1,571818,1,9,5,0,125,71,-1,71,1
D751001-521,2,4423652,TA,F49-1-BAG1,2,501178,1,0,2,2841,93,71,0,70,2
D746603-59,1,337086,MP,F49-1-BAG1,1,669347,1,12,5,0,129,73,-1,67,0
D746520-23,1,450306,NM,F49-1-BAG1,1,517582,1,3,4,0,128,284,-1,-464,1
D873028-509,2,25755,PL,F49-1-BAG1,2,1085421,1,32,10,7,134,66,0,-206,1
D746331-33,1,136747,NM,F49-1-BAG1,1,541908,1,6,5,0,125,68,0,68,0
D746530-9,1,169161,NM,F49-1-BAG1,1,507963,1,2,4,0,128,58,-1,58,1
D746530-19,1,322954,NM,F49-1-BAG1,1,599212,1,11,5,0,131,63,-1,63,1
D746520-21,1,453533,NM,F49-1-BAG1,1,532769,1,3,4,0,128,64,-1,64,1
D746530-13,1,348145,NM,F49-1-BAG1,1,574669,1,8,5,0,130,58,-1,58,1
D746510-31,1,170957,NM,F49-1-BAG1,1,508594,1,2,4,0,128,70,-1,67,1
D746530-15,1,181791,NM,F49-1-BAG1,1,548090,1,5,4,0,130,284,-1,-463,1
D746310-29,2,721807,NM,F49-1-BAG1,2,1111184,2,53,12,0,192,91,0,-92,2
D758004-611,2,422435,BS,F49-1-BAG1,2,4987043,3,11,18,549,339,361,0,-106,1
D746603-65,1,455300,MP,F49-1-BAG1,1,671272,1,12,5,0,129,86,-1,70,0
D876012-527,1,162021,PL,F49-1-BAG1,1,1445400,1,45,10,76,227,66,0,66,0
D746702-43,2,208132,MP,F49-1-BAG1,2,638149,1,10,5,0,125,73,-1,72,1
D746702-41,1,235404,MP,F49-1-BAG1,1,510836,1,0,2,0,98,284,-1,-458,1
D746340-93,1,239336,MP,F49-1-BAG1,1,592360,1,13,6,0,127,284,-1,-451,1
D746603-571,1,19662,SA,F49-1-BAG1,1,629010,1,3,5,2,126,73,-1,72,1
D746603-573,1,20142,SA,F49-1-BAG1,1,627744,1,3,5,2,127,73,-1,72,1
D746603-561,1,18434,SA,F49-1-BAG1,1,654916,1,3,5,2,127,73,-1,72,0
D751004-621,2,3981750,BS,F49-1-BAG1,2,5248831,3,12,19,941,454,71,0,66,1
D873026-513,2,57592,PL,F49-1-BAG1,2,761993,1,10,5,19,147,66,0,-206,1
D746520-25,1,427391,NM,F49-1-BAG1,1,507178,1,2,4,0,128,71,-1,71,0
D757005-511,3,552559,EL,F49-1-BAG1,3,5344906,1,0,3,328,233,72,0,-63,3
D746702-65,1,192414,MP,F49-1-BAG1,1,607917,1,7,5,0,125,73,-1,73,1
D746520-35,1,193152,NM,F49-1-BAG1,1,555793,1,5,4,0,128,64,-1,64,0
